Platform,Country,KPI,LQ_Floor,On_Target,UQ,Investment Platform Weighting,Servicing Platform Weighting,2026 Budget,2026 Actual,Total Fund,Total Arrow Backbook,Period
Eagle Street & BCC,UK,Committed Capital,0.9,95-105%,Uncapped,0.25,0.075,169418304.3,-4310679.359999999,-4310679.359999999,0,2026-Q1
Italy Combined,IT,Committed Capital,0.9,95-105%,Uncapped,0.25,0.075,407070008.83000004,58323938.2,0,0,2026-Q1
EI,IT,Committed Capital,0.9,95-105%,Uncapped,0.25,0.075,296067073.1707317,55223938.2,0,0,2026-Q1
Borio PM,IT,Committed Capital,0.9,95-105%,Uncapped,0.25,0.075,111002935.65926829,3100000,0,0,2026-Q1
Interboden,GER,Committed Capital,0.9,95-105%,Uncapped,0.25,0.075,257764315.75,7819246,0,0,2026-Q1
Mars Ireland,IRE,Committed Capital,0.9,95-105%,Uncapped,0.25,0.075,25000000,87231745.44,0,0,2026-Q1
Portugal,PT,Committed Capital,0.9,95-105%,Uncapped,0.25,0.075,533649378.24,71147732.04,71147732.04,0,2026-Q1
