Platform,Country,KPI,LQ_Floor,On_Target,UQ,Investment Platform Weighting,Servicing Platform Weighting,2026 Budget,2026 Actual,Period
Eagle Street & BCC,UK,EBITDA Margin,0.9,95-105%,Uncapped,0.05,0.15,0.26526168651282317,0.33333333333333337,2026-Q1
Italy Combined,IT,EBITDA Margin,0.9,95-105%,Uncapped,0.05,0.15,0.267630705879246,0.093,2026-Q1
EI,IT,EBITDA Margin,0.9,95-105%,Uncapped,0.05,0.15,0.30079622800886785,0,2026-Q1
Borio PM,IT,EBITDA Margin,0.9,95-105%,Uncapped,0.05,0.15,0.125,0,2026-Q1
Interboden,GER,EBITDA Margin,0.9,95-105%,Uncapped,0.05,0.15,-0.04825038239847044,-0.357,2026-Q1
Mars Ireland,IRE,EBITDA Margin,0.9,95-105%,Uncapped,0.05,0.15,-0.15126961245409257,-0.099,2026-Q1
Portugal,PT,EBITDA Margin,0.9,95-105%,Uncapped,0.05,0.15,0.2583327639566391,0.136,2026-Q1
Sagitta,IT,EBITDA Margin,0.85,95-105%,Uncapped,0,0.15,0.213251294880977,0.125,2026-Q1
