Platform,Country,KPI,LQ_Floor,On_Target,UQ,Investment Platform Weighting,Servicing Platform Weighting,2026 Budget,2026 Actual,Total Fund,Total Arrow Backbook,Period
Eagle Street & BCC,UK,Realisations,0.9,95-105%,Uncapped,0.25,0.075,13310557.944496034,-277822.8232633718,-277822.8232633718,0,2026-Q1
Italy Combined,IT,Realisations,0.9,95-105%,Uncapped,0.25,0.075,429675004.6228318,66127559.52410435,66197270.5067633,2544996.4472961733,2026-Q1
EI,IT,Realisations,0.9,95-105%,Uncapped,0.25,0.075,429675004.6228318,66197270.50676331,66197270.5067633,2544996.4472961733,2026-Q1
Borio PM,IT,Realisations,0.9,95-105%,Uncapped,0.25,0.075,429675004.6228318,-69710.98265895953,0,0,2026-Q1
Interboden,GER,Realisations,0.9,95-105%,Uncapped,0.25,0.075,69624739.86157314,30287227.32283464,0,0,2026-Q1
Mars Ireland,IRE,Realisations,0.9,95-105%,Uncapped,0.25,0.075,15011051.950461766,1775406.8931329243,1059119.41644,716287.4766929243,2026-Q1
Portugal,PT,Realisations,0.9,95-105%,Uncapped,0.25,0.075,483367821.2894542,152426251.58000517,51603856,100822395.58000517,2026-Q1
